data_center,device_type_code,count,device_type_description,cpu_util,latency_capacity,avg_price_per_gb,ttl_used,ttl_usable,pct_used,ttl_allocated,client_id,period_id
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1496
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,554.72,725.93,76.42,581.04,188,1496
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1496
Backend,COMPELLENT_DEVICE,2,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1498
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1498
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,554.98,725.93,76.45,581.04,188,1498
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.24,45.83,55.07,25.24,188,1498
Backend,COMPELLENT_DEVICE,2,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1501
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1501
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,554.72,725.93,76.42,581.04,188,1501
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1501
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.14,41.06,61.23,30.56,188,1502
Backend,COMPELLENT_DEVICE,2,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1503
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1503
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,554.71,725.93,76.41,581.04,188,1503
Plano,UNITY_DEVICE,1,EMC Unity Device,100.0,10.0,1.5,25.12,45.83,54.82,25.12,188,1503
Backend,COMPELLENT_DEVICE,2,EMC Compellent Device,200.0,10.0,3.0,590.45,639.14,92.38,590.45,188,1505
Backend,VMAX_DEVICE,1,EMC VMax Device,100.0,5.0,3.0,135.13,167.37,80.74,135.16,188,1505
Plano,SVC_DEVICE,2,IBM SVC Device,200.0,10.0,1.75,555.1,725.94,76.47,581.04,188,1505
